HLF+/+ ND			HLF+/- ND			HLF+/+ HFD			HLF+/- HFD		
2.293706	1.382504	1.915816	1.225741	0.641121	1.981161	0.973012	1.335937	2.60031	1.923923	1.425185	1.647396
2.293706	1.382504	1.915816	1.246913	0.664484	1.996749	0.973012	1.335937	2.60031	1.935378	1.425185	1.647396
2.293706	1.382504	1.915816	1.268085	0.692736	2.025038	0.973165	1.335937	2.60031	1.935422	1.425185	1.647396
2.293706	1.422327	1.915816	1.289256	0.720989	2.030926	0.986583	1.335937	2.60031	1.936448	1.461241	1.658236
2.293706	1.569955	1.915816	1.310428	0.737242	2.030926	0.990311	1.335937	2.60031	1.937138	1.525532	1.705936
2.293706	1.634098	1.915816	1.331599	0.737328	2.030926	0.990311	1.335937	2.60031	1.937138	1.526852	1.716776
2.293706	1.634098	1.915816	1.345854	0.737834	2.030926	0.990311	1.335937	2.60031	1.937138	1.562836	1.716776
2.293706	1.634098	1.915816	1.346243	0.753845	2.030926	1.031434	1.335937	2.60031	1.937138	1.667518	1.716776
2.293706	1.634098	1.915816	1.346243	0.776656	2.039269	1.075218	1.335937	2.60031	1.937138	1.676555	1.738686
2.350958	1.634098	1.915816	1.346243	0.783963	2.063925	1.077397	1.335937	2.60031	1.937138	1.676555	1.841096
2.438513	1.634098	1.915816	1.346243	0.783963	2.070805	1.094098	1.335937	2.60031	1.937138	1.676555	1.927156
2.443195	1.634098	1.915816	1.346243	0.783963	2.070805	1.258325	1.335937	2.60031	1.937138	1.676555	1.933566
2.443195	1.634098	1.915816	1.346243	0.786354	2.070805	1.309378	1.335937	2.60031	1.93808	1.676555	1.933566
2.448577	1.634098	1.915816	1.353607	0.795403	2.070805	1.312397	1.38202	2.60031	1.9557	1.676555	1.933566
2.56289	1.634098	1.915816	1.3754	0.804487	2.072142	1.327863	1.46317	2.60031	1.979447	1.676555	1.933566
2.637615	1.634098	1.968253	1.397573	0.806969	2.078898	1.327863	1.468071	2.60031	2.000806	1.676555	1.933566
2.637615	1.634098	2.068939	1.419746	0.806969	2.084833	1.327863	1.468071	2.60031	2.010939	1.676555	1.933566
2.637615	1.634098	2.086878	1.441919	0.806969	2.093649	1.327863	1.468071	2.60031	2.060449	1.676555	1.933566
2.637615	1.634098	2.086878	1.464092	0.806969	2.093864	1.332288	1.468071	2.60031	2.083983	1.676555	1.933566
2.637615	1.634098	2.086878	1.486265	0.81077	2.110741	1.357102	1.468071	2.603699	2.085347	1.676555	1.933566
2.637615	1.634098	2.086878	1.508438	0.821574	2.135218	1.35856	1.468071	2.697385	2.085372	1.681798	1.933566
2.637615	1.634098	2.086878	1.527555	0.830062	2.135458	1.386331	1.468071	2.794785	2.085372	2.116937	1.933566
2.637615	1.634098	2.086878	1.530057	0.923984	2.135458	1.40771	1.468071	2.799369	2.085372	2.584254	1.933566
2.637615	1.634098	2.086878	1.530057	1.01338	2.135458	1.40771	1.468071	2.799369	2.085372	2.5951	1.933566
2.637615	1.634098	2.086878	1.531659	1.018658	2.135458	1.40771	1.468071	2.799369	2.085372	2.5951	1.933566
2.637615	1.634098	2.086878	1.536436	1.018658	2.135458	1.40771	1.468071	2.799369	2.085372	2.5951	1.933566
2.642707	1.634098	2.086878	1.5413	1.018658	2.135458	1.419014	1.468071	2.799369	2.087481	2.5951	1.933566
2.649101	1.634098	2.086878	1.545363	1.018658	2.135458	1.456997	1.468071	2.799369	2.089126	2.5951	1.933566
2.649101	1.634098	2.086878	1.579535	1.018658	2.135458	1.457854	1.468071	2.799369	2.089126	2.5951	1.933566
2.649101	1.634098	2.086878	1.587656	1.018658	2.135458	1.457854	1.468071	2.799369	2.089126	2.5951	1.933566
2.650897	1.652501	2.086878	1.587656	1.018658	2.135458	1.457854	1.468071	2.799369	2.148989	2.5951	1.933566
